Protein_group	Koala_ko	Koala_definition	X1	X2	X3
SymbC1.scaffold5110.2					
SymbC1.scaffold5121.1					
SymbC1.scaffold513.1					
SymbC1.scaffold513.6					
SymbC1.scaffold5137.1	K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]			
SymbC1.scaffold5141.3					
SymbC1.scaffold5158.4					
SymbC1.scaffold5181.1					
SymbC1.scaffold519.12					
SymbC1.scaffold520.1	K09496	CCT4; T-complex protein 1 subunit delta			
SymbC1.scaffold520.2					
SymbC1.scaffold5204.1					
SymbC1.scaffold5206.2					
SymbC1.scaffold5219.1					
SymbC1.scaffold523.3					
SymbC1.scaffold5230.1					
SymbC1.scaffold5240.4	K03265	ETF1, ERF1; peptide chain release factor subunit 1			
SymbC1.scaffold5246.3					
SymbC1.scaffold5247.3					
SymbC1.scaffold5248.2					
SymbC1.scaffold526.10					
SymbC1.scaffold526.7	K11717	sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]			
SymbC1.scaffold5269.3					
SymbC1.scaffold5278.1					
SymbC1.scaffold529.5	K02356	efp; elongation factor P			
SymbC1.scaffold531.2	K18798	AFG1, LACE1; peroxisome-assembly ATPase [EC:3.6.4.7]			
SymbC1.scaffold5318.1					
SymbC1.scaffold532.7					
SymbC1.scaffold5334.2	K08967	mtnD, mtnZ, ADI1; 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]			
SymbC1.scaffold5339.3	K12733	PPIL1; peptidyl-prolyl cis-trans isomerase-like 1 [EC:5.2.1.8]			
SymbC1.scaffold5342.4	K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]			
SymbC1.scaffold5344.4					
SymbC1.scaffold535.3					
SymbC1.scaffold535.6	K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]			
SymbC1.scaffold5350.2					
SymbC1.scaffold5372.1					
SymbC1.scaffold5373.3					
SymbC1.scaffold5374.1					
SymbC1.scaffold538.6					
SymbC1.scaffold539.2	K09839	VDE, NPQ1; violaxanthin de-epoxidase [EC:1.23.5.1]			
SymbC1.scaffold5391.6	K00218	por; protochlorophyllide reductase [EC:1.3.1.33]			
SymbC1.scaffold541.8					
SymbC1.scaffold5410.2	K03522	fixB, etfA; electron transfer flavoprotein alpha subunit			
SymbC1.scaffold5445.3					
SymbC1.scaffold545.5					
SymbC1.scaffold546.4	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]			
SymbC1.scaffold547.6					
SymbC1.scaffold5471.2					
SymbC1.scaffold5479.2					
SymbC1.scaffold548.4					
SymbC1.scaffold5480.2	K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]			
SymbC1.scaffold5490.3					
SymbC1.scaffold5493.1					
SymbC1.scaffold5495.2	K08907	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1			
SymbC1.scaffold550.5					
SymbC1.scaffold5501.1	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]			
SymbC1.scaffold5508.3	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]			
SymbC1.scaffold5508.6					
SymbC1.scaffold5512.1	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]			
SymbC1.scaffold552.4	K00963	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]			
SymbC1.scaffold552.9	K23503	SFXN5; sideroflexin-5			
SymbC1.scaffold5535.3					
SymbC1.scaffold5535.4					
SymbC1.scaffold5543.1					
SymbC1.scaffold555.10					
SymbC1.scaffold555.8					
SymbC1.scaffold5552.5					
SymbC1.scaffold556.1					
SymbC1.scaffold556.4	K08244	R1; alpha-glucan, water dikinase [EC:2.7.9.4]			
SymbC1.scaffold5571.1					
SymbC1.scaffold5573.2	K18758	DIS3L2; DIS3-like exonuclease 2 [EC:3.1.13.-]			
SymbC1.scaffold5575.4	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]			
SymbC1.scaffold5577.1					
SymbC1.scaffold5577.5	K13412	CPK; calcium-dependent protein kinase [EC:2.7.11.1]			
SymbC1.scaffold5582.1					
SymbC1.scaffold559.2					
SymbC1.scaffold5595.1	K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]			
SymbC1.scaffold56.12					
SymbC1.scaffold5600.2					
SymbC1.scaffold5604.2	K03065	PSMC3, RPT5; 26S proteasome regulatory subunit T5			
SymbC1.scaffold561.3	K01135	ARSB; arylsulfatase B [EC:3.1.6.12]			
SymbC1.scaffold5611.1					
SymbC1.scaffold5617.3					
SymbC1.scaffold563.6					
SymbC1.scaffold5632.1	K00856	ADK, adoK; adenosine kinase [EC:2.7.1.20]			
SymbC1.scaffold5634.4	K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]			
SymbC1.scaffold5636.2					
SymbC1.scaffold5657.2					
SymbC1.scaffold5657.3	K05692	ACTB_G1; actin beta/gamma 1			
SymbC1.scaffold5658.5					
SymbC1.scaffold5660.2	K15103	UCP2_3, SLC25A8_9; solute carrier family 25 (mitochondrial uncoupling protein), member 8/9			
SymbC1.scaffold5667.7					
SymbC1.scaffold5680.3					
SymbC1.scaffold5689.1	K03798	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]			
SymbC1.scaffold570.2					
SymbC1.scaffold5701.4					
SymbC1.scaffold5707.4	K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]			
SymbC1.scaffold572.2					
SymbC1.scaffold5722.1	K09580	PDIA1, P4HB; protein disulfide-isomerase A1 [EC:5.3.4.1]			
SymbC1.scaffold5723.2	K00079	CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]			
SymbC1.scaffold5729.2					
SymbC1.scaffold5744.1					
SymbC1.scaffold5746.1	K19673	TTC21B, IFT139B; tetratricopeptide repeat protein 21B			
SymbC1.scaffold575.8					
SymbC1.scaffold5755.1	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]			
SymbC1.scaffold5767.1					
SymbC1.scaffold5787.1					
SymbC1.scaffold5787.2					
SymbC1.scaffold5788.1					
SymbC1.scaffold58.7					
SymbC1.scaffold58.8					
SymbC1.scaffold581.2					
SymbC1.scaffold581.3					
SymbC1.scaffold5821.5					
SymbC1.scaffold584.4					
SymbC1.scaffold5841.3	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]			
SymbC1.scaffold5857.3					
SymbC1.scaffold5865.4	K03029	PSMD4, RPN10; 26S proteasome regulatory subunit N10			
SymbC1.scaffold5865.5					
SymbC1.scaffold5865.6					
SymbC1.scaffold5869.2					
SymbC1.scaffold588.2	K03798	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]			
SymbC1.scaffold588.3	K03798	ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]			
SymbC1.scaffold588.8					
SymbC1.scaffold5893.2	K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]			
SymbC1.scaffold59.5					
SymbC1.scaffold590.1	K12298	CEL; bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]			
SymbC1.scaffold590.2	K11129	NHP2, NOLA2; H/ACA ribonucleoprotein complex subunit 2			
SymbC1.scaffold590.21					
SymbC1.scaffold5901.1					
SymbC1.scaffold5904.3					
SymbC1.scaffold5907.1					
SymbC1.scaffold591.6	K04563	CDC28, CDC2; cyclin-dependent kinase [EC:2.7.11.22]			
SymbC1.scaffold5913.3					
SymbC1.scaffold5918.4	K08081	TR1; tropinone reductase I [EC:1.1.1.206]			
SymbC1.scaffold5935.2					
SymbC1.scaffold5937.1					
SymbC1.scaffold5947.3					
SymbC1.scaffold596.9					
SymbC1.scaffold597.1					
SymbC1.scaffold5974.3					
SymbC1.scaffold5976.3					
SymbC1.scaffold5979.3					
SymbC1.scaffold5985.3					
SymbC1.scaffold5994.2					
SymbC1.scaffold6006.3	K01090	E3.1.3.16; protein phosphatase [EC:3.1.3.16]			
SymbC1.scaffold602.2					
SymbC1.scaffold6028.2	K04371	ERK, MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]			
SymbC1.scaffold6029.1					
SymbC1.scaffold6029.2	K11262	ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]			
SymbC1.scaffold6040.6					
SymbC1.scaffold6041.1					
SymbC1.scaffold6041.3					
SymbC1.scaffold6049.1	K07374	TUBA; tubulin alpha			
SymbC1.scaffold6056.1					
SymbC1.scaffold6056.2	K09489	HSPA4; heat shock 70kDa protein 4			
SymbC1.scaffold606.10					
SymbC1.scaffold610.1					
SymbC1.scaffold610.2					
SymbC1.scaffold6108.2					
SymbC1.scaffold6118.20					
SymbC1.scaffold6128.2					
SymbC1.scaffold6131.4	K11412	SIRT2, SIR2L2; NAD-dependent protein deacetylase sirtuin 2 [EC:2.3.1.286]			
SymbC1.scaffold6132.1					
SymbC1.scaffold6142.2					
SymbC1.scaffold6142.3					
SymbC1.scaffold6145.2					
SymbC1.scaffold6145.3					
SymbC1.scaffold6151.3					
SymbC1.scaffold616.6					
SymbC1.scaffold6165.5					
SymbC1.scaffold617.7	K01092	E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]			
SymbC1.scaffold6193.1					
SymbC1.scaffold625.16					
SymbC1.scaffold625.4	K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]			
SymbC1.scaffold6257.1					
SymbC1.scaffold6260.2	K09490	HSPA5, BIP; endoplasmic reticulum chaperone BiP [EC:3.6.4.10]			
SymbC1.scaffold6278.3					
SymbC1.scaffold6301.2					
SymbC1.scaffold631.3					
SymbC1.scaffold6321.1					
SymbC1.scaffold633.3					
SymbC1.scaffold6345.6					
SymbC1.scaffold6359.3					
SymbC1.scaffold6370.2					
SymbC1.scaffold6370.5	K02858	ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]			
SymbC1.scaffold6378.4					
SymbC1.scaffold6394.2					
SymbC1.scaffold640.2					
SymbC1.scaffold6403.2					
SymbC1.scaffold6406.3					
SymbC1.scaffold6409.1					
SymbC1.scaffold6418.3	K09568	FKBP1; FK506-binding protein 1 [EC:5.2.1.8]			
SymbC1.scaffold642.3					
SymbC1.scaffold642.4					
SymbC1.scaffold642.5					
SymbC1.scaffold6432.1					
SymbC1.scaffold6448.2	K03036	PSMD11, RPN6; 26S proteasome regulatory subunit N6			
SymbC1.scaffold6449.1	K23485	AltSQE; alternative squalene epoxidase [EC:1.14.19.-]			
SymbC1.scaffold6451.2					
SymbC1.scaffold6456.4					
SymbC1.scaffold6463.2					
SymbC1.scaffold6469.3					
SymbC1.scaffold6478.1					
SymbC1.scaffold649.2	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]			
SymbC1.scaffold6519.1					
SymbC1.scaffold6531.6	K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]			
SymbC1.scaffold6531.7					
SymbC1.scaffold6541.2					
SymbC1.scaffold6543.1					
SymbC1.scaffold6556.3	K17794	TIM23; mitochondrial import inner membrane translocase subunit TIM23			
SymbC1.scaffold656.5					
SymbC1.scaffold657.2	K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]			
SymbC1.scaffold6587.5	K04567	KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]			
SymbC1.scaffold66.8					
SymbC1.scaffold660.2					
SymbC1.scaffold661.11					
SymbC1.scaffold661.14					
SymbC1.scaffold6617.2					
SymbC1.scaffold662.7					
SymbC1.scaffold6631.1	K08910	LHCA4; light-harvesting complex I chlorophyll a/b binding protein 4			
SymbC1.scaffold6631.3					
SymbC1.scaffold6635.1					
SymbC1.scaffold6648.4					
SymbC1.scaffold6651.1	K15042	KPNA5_6; importin subunit alpha-6/7			
SymbC1.scaffold666.2					
SymbC1.scaffold6661.2					
SymbC1.scaffold6673.4	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]			
SymbC1.scaffold6685.1	K00761	upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]			
SymbC1.scaffold6698.2					
SymbC1.scaffold670.6	K01890	FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]			
SymbC1.scaffold6716.2					
SymbC1.scaffold6716.3					
SymbC1.scaffold6721.2					
SymbC1.scaffold6731.1					
SymbC1.scaffold6731.4					
SymbC1.scaffold674.12	K02997	RP-S9e, RPS9; small subunit ribosomal protein S9e			
SymbC1.scaffold676.5	K06215	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]			
SymbC1.scaffold6772.2					
SymbC1.scaffold6791.2					
SymbC1.scaffold6793.2					
SymbC1.scaffold680.2	K02937	RP-L7e, RPL7; large subunit ribosomal protein L7e			
SymbC1.scaffold6820.2	K08675	PRSS15, PIM1; ATP-dependent Lon protease [EC:3.4.21.53]			
SymbC1.scaffold6827.3					
SymbC1.scaffold684.7					
SymbC1.scaffold6879.2					
SymbC1.scaffold6884.2					
SymbC1.scaffold690.7	K22757	QCT, qpcT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]			
SymbC1.scaffold6915.2	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]			
SymbC1.scaffold6935.4					
SymbC1.scaffold6938.2					
SymbC1.scaffold694.1	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]			
SymbC1.scaffold694.6					
SymbC1.scaffold6940.2					
SymbC1.scaffold6945.2					
SymbC1.scaffold697.10					
SymbC1.scaffold698.7					
SymbC1.scaffold6980.3	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]			
SymbC1.scaffold703.1	K09592	EGLN, HPH; hypoxia-inducible factor prolyl hydroxylase [EC:1.14.11.29]			
SymbC1.scaffold7045.1	K05666	ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2			
SymbC1.scaffold707.7					
SymbC1.scaffold7081.3					
SymbC1.scaffold7090.3	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]			
SymbC1.scaffold7128.2	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]			
SymbC1.scaffold713.1	K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]			
SymbC1.scaffold714.1	K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC			
SymbC1.scaffold714.9					
SymbC1.scaffold7143.1	K04460	PPP5C; serine/threonine-protein phosphatase 5 [EC:3.1.3.16]			
SymbC1.scaffold7145.3					
SymbC1.scaffold7149.1					
SymbC1.scaffold715.10					
SymbC1.scaffold715.8	K08496	GOSR2, BOS1; golgi SNAP receptor complex member 2			
SymbC1.scaffold715.9					
SymbC1.scaffold7218.2					
SymbC1.scaffold7218.3					
SymbC1.scaffold724.9	K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'			
SymbC1.scaffold7245.2					
SymbC1.scaffold7245.4					
SymbC1.scaffold726.4					
SymbC1.scaffold726.6	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]			
SymbC1.scaffold7270.1					
SymbC1.scaffold7281.2	K00898	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]			
SymbC1.scaffold731.5					
SymbC1.scaffold732.4	K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]			
SymbC1.scaffold732.5	K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]			
SymbC1.scaffold7348.1					
SymbC1.scaffold7353.3	K18703	SUGCT; succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]			
SymbC1.scaffold738.3					
SymbC1.scaffold738.4					
SymbC1.scaffold7385.1					
SymbC1.scaffold741.2	K00434	E1.11.1.11; L-ascorbate peroxidase [EC:1.11.1.11]			
SymbC1.scaffold7418.1					
SymbC1.scaffold7427.1					
SymbC1.scaffold744.6	K03403	chlH, bchH; magnesium chelatase subunit H [EC:6.6.1.1]			
SymbC1.scaffold745.3					
SymbC1.scaffold7467.3					
SymbC1.scaffold747.4	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]			
SymbC1.scaffold7488.1					
SymbC1.scaffold7493.1					
SymbC1.scaffold75.10	K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]			
SymbC1.scaffold75.5					
SymbC1.scaffold7514.1					
SymbC1.scaffold7515.2	K01255	CARP, pepA; leucyl aminopeptidase [EC:3.4.11.1]			
SymbC1.scaffold7520.1	K01805	xylA; xylose isomerase [EC:5.3.1.5]			
SymbC1.scaffold7521.2					
SymbC1.scaffold7524.1					
SymbC1.scaffold7526.6					
SymbC1.scaffold753.10					
SymbC1.scaffold7532.3	K06130	LYPLA2; lysophospholipase II [EC:3.1.1.5]			
SymbC1.scaffold7533.1					
SymbC1.scaffold7547.3					
SymbC1.scaffold7548.1					
SymbC1.scaffold757.4	K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]			
SymbC1.scaffold759.1					
SymbC1.scaffold759.3	K12852	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component			
SymbC1.scaffold760.3	K12856	PRPF8, PRP8; pre-mRNA-processing factor 8			
SymbC1.scaffold7607.5	K03178	UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45]			
SymbC1.scaffold7615.1					
SymbC1.scaffold7618.1					
SymbC1.scaffold7633.3					
SymbC1.scaffold764.3					
SymbC1.scaffold7673.2	K07374	TUBA; tubulin alpha			
SymbC1.scaffold7683.1					
SymbC1.scaffold7685.6					
SymbC1.scaffold7688.2	K07151	STT3; dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]			
SymbC1.scaffold7698.2	K03252	EIF3C; translation initiation factor 3 subunit C			
SymbC1.scaffold7704.1					
SymbC1.scaffold7725.1					
SymbC1.scaffold7731.1					
SymbC1.scaffold774.4					
SymbC1.scaffold776.22					
SymbC1.scaffold7772.3					
SymbC1.scaffold7787.1					
SymbC1.scaffold7797.3					
SymbC1.scaffold7800.3	K03696	clpC; ATP-dependent Clp protease ATP-binding subunit ClpC			
SymbC1.scaffold782.4					
SymbC1.scaffold782.8					
SymbC1.scaffold784.2					
SymbC1.scaffold7842.3					
SymbC1.scaffold787.8	K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]			
SymbC1.scaffold7884.1					
SymbC1.scaffold7893.2					
SymbC1.scaffold79.11					
SymbC1.scaffold79.2	K06215	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]			
SymbC1.scaffold79.6					
SymbC1.scaffold79.7					
SymbC1.scaffold790.2					
SymbC1.scaffold790.8					
SymbC1.scaffold793.3	K03235	EF3, TEF3; elongation factor 3			
SymbC1.scaffold7939.2					
SymbC1.scaffold7940.1					
SymbC1.scaffold7952.3	K02984	RP-S3Ae, RPS3A; small subunit ribosomal protein S3Ae			
SymbC1.scaffold7969.3	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]			
SymbC1.scaffold797.1					
SymbC1.scaffold797.8					
SymbC1.scaffold7980.1					
SymbC1.scaffold7995.2	K04078	groES, HSPE1; chaperonin GroES			
SymbC1.scaffold7996.1					
SymbC1.scaffold7997.1					
SymbC1.scaffold800.2	K08956	AFG3; AFG3 family protein [EC:3.4.24.-]			
SymbC1.scaffold8028.1					
SymbC1.scaffold8039.2	K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]			
SymbC1.scaffold805.7					
SymbC1.scaffold8069.2	K02377	TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]			
SymbC1.scaffold808.7					
SymbC1.scaffold8083.1	K11262	ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]			
SymbC1.scaffold8098.2					
SymbC1.scaffold81.2	K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]			
SymbC1.scaffold8113.1	K00451	HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]			
SymbC1.scaffold8116.1					
SymbC1.scaffold814.2					
SymbC1.scaffold8142.1	K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]			
SymbC1.scaffold8149.2	K26403	CIAO2, CIA2, FAM96; cytosolic iron-sulfur assembly component 2			
SymbC1.scaffold8167.1					
SymbC1.scaffold8170.2					
SymbC1.scaffold8181.1					
SymbC1.scaffold8186.5	K00793	ribE, RIB5; riboflavin synthase [EC:2.5.1.9]			
SymbC1.scaffold819.2	K02934	RP-L6e, RPL6; large subunit ribosomal protein L6e			
SymbC1.scaffold8198.4	K00826	E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]			
SymbC1.scaffold8199.2					
SymbC1.scaffold8202.5					
SymbC1.scaffold822.3					
SymbC1.scaffold822.8	K03064	PSMC6, RPT4; 26S proteasome regulatory subunit T4			
SymbC1.scaffold8222.1	K03234	EEF2; elongation factor 2			
SymbC1.scaffold8223.2					
SymbC1.scaffold8225.1					
SymbC1.scaffold824.2					
SymbC1.scaffold826.3					
SymbC1.scaffold8281.2					
SymbC1.scaffold8323.2	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]			
SymbC1.scaffold8353.2	K02133	ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:7.1.2.2]			
SymbC1.scaffold8361.1					
SymbC1.scaffold8421.1					
SymbC1.scaffold8429.2					
SymbC1.scaffold844.13					
SymbC1.scaffold844.6					
SymbC1.scaffold8457.1					
SymbC1.scaffold8498.3					
SymbC1.scaffold8502.1					
